,DISTRICT,STREET ID,STREET NAME,SEC ID,BEG LOCATION,END LOCATION,AREA (SqFt),PCI DATE,PCI,Last MnR Date,Last MnR Treatment,Renovation Age (Years),Last Work Year,Treatment Category,Functional Classification,Length (feet),Width (feet),Surface
517054063,['5'],517054,BERRYMAN ST,063,MILVIA ST,HENRY ST,10908,2022-07-14,51,,,,,,Residential/Local,303,36,Asphalt
517054064,['5'],517054,BERRYMAN ST,064,HENRY ST,SHATTUCK AVE,13212,2022-07-14,71,,,,,,Residential/Local,367,36,Asphalt
213055050,['5'],213055,BEVERLY PL,050,WEST CITY LIMIT COP W/O MONTEREY ST,HOPKINS ST,65880,2022-07-19,67,1989-12-01,MILL AND OVERLAY W/FABRIC,32.0,1989.0,3 - Heavy Rehab,Residential/Local,1830,36,Overlay of asphalt over asphalt
933057042,['2'],933057,BLAKE ST,042,SAN PABLO AVE,MABEL ST,40032,2022-07-13,96,2021-04-20,MILL AND OVERLAY,1.0,2021.0,3 - Heavy Rehab,Residential/Local,1112,36,Overlay of asphalt over asphalt
933057044,['2'],933057,BLAKE ST,044,MABEL ST,SACRAMENTO ST,47880,2022-07-13,15,1992-10-01,MILL AND OVERLAY W/FABRIC,29.0,1992.0,3 - Heavy Rehab,Residential/Local,1330,36,Overlay of asphalt over asphalt
834057055,"['3', '4']",834057,BLAKE ST,055,MC GEE AVE,MARTIN LUTHER KING JR WAY,46080,2022-07-08,19,1993-07-01,RECONSTRUCT SURFACE (AC),29.0,1993.0,4 - Reconstruct,Residential/Local,1280,36,Asphalt
835057060,"['3', '4']",835057,BLAKE ST,060,MARTIN LUTHER KING JR WAY,MILVIA ST,31920,2022-07-08,19,1997-08-15,MILL AND THICK OVERLAY,24.0,1997.0,3 - Heavy Rehab,Residential/Local,665,48,Overlay of asphalt over asphalt
735057063,"['3', '4']",735057,BLAKE ST,063,MILVIA ST,SHATTUCK AVE,33024,2022-07-08,19,1997-08-15,MILL AND THICK OVERLAY,24.0,1997.0,3 - Heavy Rehab,Residential/Local,688,48,Overlay of asphalt over asphalt
735557065,"['3', '4']",735557,BLAKE ST,065,SHATTUCK AVE,FULTON ST,20700,2022-07-08,43,,,,,,Residential/Local,575,36,Asphalt
736057070,"['3', '7']",736057,BLAKE ST,070,FULTON ST,TELEGRAPH AVE,68760,2022-07-08,20,1997-08-13,MILL AND THICK OVERLAY,24.0,1997.0,3 - Heavy Rehab,Residential/Local,1910,36,Overlay of asphalt over asphalt
940058075,['2'],940058,BOISE ST,075,66TH ST,HARMON ST,18180,2022-07-12,63,1988-11-01,THIN OVERLAY w/FABRIC,33.0,1988.0,1 - Heavy Maintenance,Residential/Local,505,36,Overlay of asphalt over asphalt
931061051,['2'],931061,BONAR ST,051,UNIVERSITY AVE,ADDISON ST,11304,2022-07-13,93,2019-10-11,MILL AND THICK OVERLAY,2.0,2019.0,3 - Heavy Rehab,Residential/Local,314,36,Overlay of asphalt over asphalt
931061053,['2'],931061,BONAR ST,053,ADDISON ST,ALLSTON WAY,24120,2022-07-13,93,2019-10-11,RECONSTRUCT STRUCTURE (AC),2.0,2019.0,4 - Reconstruct,Residential/Local,670,36,Asphalt
931061055,['2'],931061,BONAR ST,055,ALLSTON WAY,DWIGHT WAY,71352,2022-07-13,93,2019-10-11,RECONSTRUCT SURFACE (AC),2.0,2019.0,4 - Reconstruct,Residential/Local,1982,36,Asphalt
417062030,['5'],417062,BONITA AVE,030,YOLO AVE,BERRYMAN ST,22350,2022-07-14,76,2010-06-30,MILL AND THIN OVERLAY,12.0,2010.0,2 - Light Rehab,Residential/Local,745,30,Overlay of asphalt over asphalt
417062032,['5'],417062,BONITA AVE,032,BERRYMAN ST,ROSE ST,23940,2022-07-14,78,2010-06-30,MILL AND THIN OVERLAY,12.0,2010.0,2 - Light Rehab,Residential/Local,665,36,Overlay of asphalt over asphalt
417062034,['5'],417062,BONITA AVE,034,ROSE ST,VINE ST,23760,2022-07-14,26,1995-06-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Residential/Local,660,36,Overlay of asphalt over asphalt
417062036,['5'],417062,BONITA AVE,036,VINE ST,CEDAR ST,23580,2022-07-14,74,2010-06-30,MILL AND THIN OVERLAY,12.0,2010.0,2 - Light Rehab,Residential/Local,655,36,Overlay of asphalt over asphalt
424062040,['4'],424062,BONITA AVE,040,CEDAR ST,VIRGINIA ST,24120,2022-07-21,18,1995-06-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Residential/Local,670,36,Overlay of asphalt over asphalt
